DHI MORTGAGE COMPANY LIMITED,341125
DIAMOND CREDIT UNION,68
DIGITAL FEDERAL CREDIT UNION,49345
DIME BANK,167
DIRECTORS FINANCIAL GROUP,12196
DISCOVER BANK,1049
"DISCOVER HOME LOANS, INC",206283
"DISCOVER HOME LOANS, INC.",368290
"DNB FIRST, NA",1766
"DOLLAR BANK, FSB",64676
DOMINION CREDIT UNION,39713
DOOLIN SECURITY SAVINGS BANK,2412
DOVER FEDERAL CREDIT UNION,15639
DRAGAS MORTGAGE COMPANY,117805
DUBUQUE BANK & TRUST CO.,42594
DUPACO COMMUNITY CREDIT UNION,335
DUPONT COMMUNITY CREDIT UNION,194475
DVA FEDERAL CREDIT UNION,2247
"E MORTGAGE MANAGEMENT, LLC",410226
E*TRADE SAVINGS BANK,25081
EAGLE BANK AND TRUST COMPANY O,263
EAGLE ONE FEDERAL CREDIT UNION,1011
EAGLEBANK,2476456
"EASTERN SAVINGS BANK, FSB",885
EASTMAN CREDIT UNION,78788
"ECOM MORTGAGE, INC.",598
EDUCATIONAL SYSTEMS FCU,18477
"EDWARD JONES MORTGAGE, LLC",13040
"EMBRACE HOME LOANS, INC.",3827440
EMERY FEDERAL CREDIT UNION,9887
"EMIGRANT MORTGAGE COMPANY, INC",417
ENDURA FINANCIAL FCU,224
ENERGY FEDERAL CREDIT UNION,4348
ENERGY ONE FEDERAL CREDIT UNIO,106
ENTERPRISE BANK AND TRUST,1292
ENTRUST FINANCIAL CREDIT UNION,177
"ENVOY MORTGAGE, LTD.",235652
EP FEDERAL CREDIT UNION,570
EQUITY LOANS LLC,150224
EQUITY RESOURCES INC,197413
ESSEX BANK,61806
EVB,17892
EVERBANK,2199745
EVERENCE FEDERAL CREDIT UNION,660
EVERETT FINANCIAL INC,101542
EVOLVE BANK & TRUST,195268
"EXCEL MORTGAGE SERVICING, INC",42039
"EXTRACO BANKS, N.A.",228
F & M BANK AND TRUST CO,683
F&B ACQUISITION GROUP,238
F&M BANK,555
FAIRFAX COUNTY FEDERAL CU,372
FAIRFIELD COUNTY BANK,876
FAIRMONT FEDERAL CREDIT UNION,66640
FAIRMOUNT BANK,10211
FAIRWAY ASSET CORPORATION,77907
FAIRWAY INDEPENDENT MORT. CORP,828404
"FARM CREDIT OF THE VIRGINIAS,",303107
FARM CREDIT SERVICES OF MIDAM,5299
FARMERS & MERCHANTS BANK,216592
FARMERS & MRCH BK OF CRAIG CTY,9058
FARMERS AND MERCHANTS BANK,46272
FARMERS AND MINERS BANK,8865
FARMERS BANK,8050
FARMERS BANK AND TRUST,53235
FARMERS BANK AND TRUST NA,100253
FARMERS INSURANCE GROUP FCU,295
FARMERS NATIONAL BANK,175
FAYETTE COUNTY NATIONAL BANK,5699
FBC MORTGAGE LLC,20994
FEARON FINANCIAL LLC,28994
FEDCHOICE FEDERAL CREDIT UNION,7974
FEDFINANCIAL FCU,469
FIDELITY BANK,1103096
FIDELITY COOPERATIVE BANK,369
FIELDPOINT PRIVATE BANK & TRUS,700
FIFTH THIRD BANK,38318
FIFTH THIRD MORTGAGE COMPANY,3790954
FINANCIAL FEDERAL BANK,531
FINANCIAL PARTNERS CU,737
FINANCIAL RESOURCES FCU,933
FINEMARK NATIONAL BANK & TRUST,847
FIRST ALLIANCE HOME MORTGAGE,3006
FIRST AMERICAN BANK,180
